,Mėn. Nr.,Grąžintina dalis,Likutis,Palūkanos,Grazintina suma
0,1.0,1120.4166666666667,12324.583333333334,6.0,1126.4166666666667
1,2.0,1120.4166666666667,11204.166666666668,5.5,1125.9166666666667
2,3.0,1120.4166666666667,10083.750000000002,4.999999999999999,1125.4166666666667
3,4.0,1120.4166666666667,8963.333333333336,4.500000000000001,1124.9166666666667
4,5.0,1120.4166666666667,7842.916666666669,4.000000000000001,1124.4166666666667
5,6.0,1120.4166666666667,6722.500000000002,3.5000000000000004,1123.9166666666667
6,7.0,1120.4166666666667,5602.083333333335,3.0000000000000004,1123.4166666666667
7,8.0,1120.4166666666667,4481.666666666668,2.5000000000000004,1122.9166666666667
8,9.0,1120.4166666666667,3361.250000000001,2.0000000000000004,1122.4166666666667
9,10.0,1120.4166666666667,2240.833333333334,1.5000000000000002,1121.9166666666667
10,11.0,1120.4166666666667,1120.4166666666672,1.0000000000000002,1121.4166666666667
11,12.0,1120.4166666666667,4.547473508864641e-13,0.5000000000000002,1120.9166666666667
