,Mėn. Nr.,Grąžintina dalis,Likutis,Palūkanos,Grazintina suma
0,1.0,101.91666666666667,1121.0833333333333,22.0,123.91666666666667
1,2.0,101.91666666666667,1019.1666666666666,20.166666666666664,122.08333333333334
2,3.0,101.91666666666667,917.25,18.333333333333332,120.25
3,4.0,101.91666666666667,815.3333333333334,16.5,118.41666666666667
4,5.0,101.91666666666667,713.4166666666667,14.66666666666667,116.58333333333334
5,6.0,101.91666666666667,611.5000000000001,12.833333333333334,114.75
6,7.0,101.91666666666667,509.5833333333334,11.0,112.91666666666667
7,8.0,101.91666666666667,407.66666666666674,9.166666666666668,111.08333333333334
8,9.0,101.91666666666667,305.75000000000006,7.333333333333335,109.25
9,10.0,101.91666666666667,203.83333333333337,5.5,107.41666666666667
10,11.0,101.91666666666667,101.9166666666667,3.6666666666666674,105.58333333333334
11,12.0,101.91666666666667,2.842170943040401e-14,1.833333333333334,103.75
